alcohol,malic_acid,color_intensity,proline,target
14.23,1.71,5.64,1065.0,0
13.2,1.78,4.38,1050.0,0
13.16,2.36,5.68,1185.0,0
14.37,1.95,7.8,1480.0,0
13.24,2.59,4.32,735.0,0
14.2,1.76,6.75,1450.0,0
14.39,1.87,5.25,1290.0,0
14.06,2.15,5.05,1295.0,0
14.83,1.64,5.2,1045.0,0
13.86,1.35,7.22,1045.0,0
14.1,2.16,5.75,1510.0,0
14.12,1.48,5.0,1280.0,0
13.75,1.73,5.6,1320.0,0
14.75,1.73,5.4,1150.0,0
14.38,1.87,7.5,1547.0,0
13.63,1.81,7.3,1310.0,0
14.3,1.92,6.2,1280.0,0
13.83,1.57,6.6,1130.0,0
14.19,1.59,8.7,1680.0,0
13.64,3.1,5.1,845.0,0
14.06,1.63,5.65,780.0,0
12.93,3.8,4.5,770.0,0
13.71,1.86,3.8,1035.0,0
12.85,1.6,3.93,1015.0,0
13.5,1.81,3.52,845.0,0
13.05,2.05,3.58,830.0,0
13.39,1.77,4.8,1195.0,0
13.3,1.72,3.95,1285.0,0
13.87,1.9,4.5,915.0,0
14.02,1.68,4.7,1035.0,0
13.73,1.5,5.7,1285.0,0
13.58,1.66,6.9,1515.0,0
13.68,1.83,3.84,990.0,0
13.76,1.53,5.4,1235.0,0
13.51,1.8,4.2,1095.0,0
13.48,1.81,5.1,920.0,0
13.28,1.64,4.6,880.0,0
13.05,1.65,4.25,1105.0,0
13.07,1.5,3.7,1020.0,0
14.22,3.99,5.1,760.0,0
13.56,1.71,6.13,795.0,0
13.41,3.84,4.28,1035.0,0
13.88,1.89,5.43,1095.0,0
13.24,3.98,4.36,680.0,0
13.05,1.77,5.04,885.0,0
14.21,4.04,5.24,1080.0,0
14.38,3.59,4.9,1065.0,0
13.9,1.68,6.1,985.0,0
14.1,2.02,6.2,1060.0,0
13.94,1.73,8.9,1260.0,0
13.05,1.73,7.2,1150.0,0
13.83,1.65,5.6,1265.0,0
13.82,1.75,7.05,1190.0,0
13.77,1.9,6.3,1375.0,0
13.74,1.67,5.85,1060.0,0
13.56,1.73,6.25,1120.0,0
14.22,1.7,6.38,970.0,0
13.29,1.97,6.0,1270.0,0
13.72,1.43,6.8,1285.0,0
12.37,0.94,1.95,520.0,1
12.33,1.1,3.27,680.0,1
12.64,1.36,5.75,450.0,1
13.67,1.25,3.8,630.0,1
